[INFO ][2022-05-14 10:49:35,714][Lab_2.Task]  - Ответ:41.0
[INFO ][2022-05-14 11:06:36,393][Lab_2.Task]  - Ответ:41.0
[INFO ][2022-05-14 11:19:38,732][Lab_2.Task]  - Ответ:41.0
[INFO ][2022-05-14 11:19:45,522][Lab_2.Task]  - x1 = NaN
[INFO ][2022-05-14 11:19:45,522][Lab_2.Task]  - x2 = NaN
[INFO ][2022-05-14 11:21:06,122][Lab_2.Task]  - x1 = NaN
[INFO ][2022-05-14 11:21:06,122][Lab_2.Task]  - x2 = NaN
[INFO ][2022-05-14 11:24:11,522][Lab_2.Task]  - x1 = NaN
[INFO ][2022-05-14 11:24:11,522][Lab_2.Task]  - x2 = NaN
[INFO ][2022-05-14 11:24:43,952][Lab_2.Task]  - x1 = 2.5
[INFO ][2022-05-14 11:24:43,952][Lab_2.Task]  - x2 = 2.5
[INFO ][2022-05-14 11:25:19,602][Lab_2.Task]  - Ответ:41.0
[INFO ][2022-05-14 11:25:19,612][Lab_2.Task]  - x1 = NaN
[INFO ][2022-05-14 11:25:19,612][Lab_2.Task]  - x2 = NaN
[INFO ][2022-05-14 11:25:46,842][Lab_2.Task]  - Ответ:41.0
[INFO ][2022-05-14 11:25:46,842][Lab_2.Task]  - x1 = 2.5
[INFO ][2022-05-14 11:25:46,842][Lab_2.Task]  - x2 = 2.5
[INFO ][2022-05-21 11:49:50,536][Lab_2.Task]  - Ответ:41.0
[INFO ][2022-05-21 11:49:50,546][Lab_2.Task]  - x1 = 2.5
[INFO ][2022-05-21 11:49:50,546][Lab_2.Task]  - x2 = 2.5
[INFO ][2022-05-21 11:50:04,077][Lab_2.Task]  - Введены не верные параметры
[INFO ][2022-05-21 11:51:31,637][Lab_2.Task]  - Введены не верные параметры
[INFO ][2022-05-21 11:52:00,836][Lab_2.Task]  - Ответ:41.0
[INFO ][2022-05-21 11:52:00,836][Lab_2.Task]  - x1 = 2.5
[INFO ][2022-05-21 11:52:00,836][Lab_2.Task]  - x2 = 2.5
[INFO ][2022-05-21 11:56:54,056][Lab_2.Task]  - Ответ:41.0
[INFO ][2022-05-21 11:56:54,056][Lab_2.Task]  - x1 = 2.5
[INFO ][2022-05-21 11:56:54,066][Lab_2.Task]  - x2 = 2.5
[INFO ][2022-05-21 11:57:02,016][Lab_2.Task]  - Введены не верные параметры
[INFO ][2022-05-21 11:57:35,126][Lab_2.Task]  - Ответ:41.0
[INFO ][2022-05-21 11:57:35,126][Lab_2.Task]  - x1 = 2.5
[INFO ][2022-05-21 11:57:35,126][Lab_2.Task]  - x2 = 2.5
[INFO ][2022-05-21 11:58:56,476][Lab_2.Task]  - Ответ:41.0
[INFO ][2022-05-21 11:58:56,480][Lab_2.Task]  - x1 = 2.5
[INFO ][2022-05-21 11:58:56,480][Lab_2.Task]  - x2 = 2.5
[INFO ][2022-05-21 11:58:56,480][Lab_2.Task]  - Введены не верные параметры
[INFO ][2022-05-21 12:01:25,037][Lab_2.Task]  - Ответ:41.0
[INFO ][2022-05-21 12:01:25,037][Lab_2.Task]  - x1 = 2.5
[INFO ][2022-05-21 12:01:25,037][Lab_2.Task]  - x2 = 2.5
[INFO ][2022-05-21 12:01:25,046][Lab_2.Task]  - Введены не верные параметры
[INFO ][2022-05-21 12:20:55,566][Lab_2.Task]  - Ответ:41.0
[INFO ][2022-05-21 12:20:55,566][Lab_2.Task]  - x1 = 2.5
[INFO ][2022-05-21 12:20:55,566][Lab_2.Task]  - x2 = 2.5
[INFO ][2022-05-21 12:20:55,566][Lab_2.Task]  - Введены не верные параметры
[INFO ][2022-05-21 12:23:07,316][Lab_2.Task]  - Ответ:41.0
[INFO ][2022-05-21 12:23:07,316][Lab_2.Task]  - x1 = 2.5
[INFO ][2022-05-21 12:23:07,316][Lab_2.Task]  - x2 = 2.5
[INFO ][2022-05-21 12:23:07,316][Lab_2.Task]  - Введены не верные параметры
[INFO ][2022-05-21 12:52:04,660][%?]  - Ответ:41.0
[INFO ][2022-05-21 12:52:04,663][%?]  - x1 = 2.5
[INFO ][2022-05-21 12:52:04,664][%?]  - x2 = 2.5
[INFO ][2022-05-21 12:52:04,665][%?]  - Введены не верные параметры
[INFO ][2022-05-21 12:52:21,652][Lab_2.Task1]  - Ответ:41.0
[INFO ][2022-05-21 12:52:21,657][Lab_2.Task2]  - x1 = 2.5
[INFO ][2022-05-21 12:52:21,657][Lab_2.Task2]  - x2 = 2.5
[INFO ][2022-05-21 12:52:21,658][Lab_2.Task]  - Введены не верные параметры
[INFO ][2022-05-21 12:53:41,102][Lab_2.Task1]  - Ответ:41.0
[INFO ][2022-05-21 12:53:41,106][Lab_2.Task2]  - x1 = 2.5
[INFO ][2022-05-21 12:53:41,106][Lab_2.Task2]  - x2 = 2.5
[INFO ][2022-05-21 12:53:41,108][Lab_2.Task3]  - 1
[INFO ][2022-05-21 12:53:41,110][Lab_2.Task3]  - 1
[INFO ][2022-05-21 12:54:00,304][Lab_2.Task1]  - Ответ:41.0
[INFO ][2022-05-21 12:54:00,309][Lab_2.Task2]  - x1 = 2.5
[INFO ][2022-05-21 12:54:00,310][Lab_2.Task2]  - x2 = 2.5
[INFO ][2022-05-21 12:54:00,311][Lab_2.Task3]  - 1
[INFO ][2022-06-08 16:00:41,557][Lab_2.Task1]  - Ответ:41.0
[INFO ][2022-06-08 16:00:41,557][Lab_2.Task2]  - x1 = 2.5
[INFO ][2022-06-08 16:00:41,557][Lab_2.Task2]  - x2 = 2.5
[INFO ][2022-06-08 16:00:41,573][Lab_2.Task3]  - 1
[INFO ][2022-06-08 16:07:16,542][Lab_2.Task1]  - Ответ:41.0
[INFO ][2022-06-08 16:07:16,558][Lab_2.Task2]  - x1 = 2.5
[INFO ][2022-06-08 16:07:16,558][Lab_2.Task2]  - x2 = 2.5
[INFO ][2022-06-08 16:07:16,558][Lab_2.Task3]  - 1
[INFO ][2022-06-09 10:49:00,397][Lab_2.Task1]  - Ответ:41.0
[INFO ][2022-06-09 10:49:00,417][Lab_2.Task2]  - x1 = 2.5
[INFO ][2022-06-09 10:49:00,417][Lab_2.Task2]  - x2 = 2.5
[INFO ][2022-06-09 10:49:00,453][Lab_2.Task3]  - 1
[INFO ][2022-06-09 10:52:05,528][Lab_2.Task1]  - Ответ:41.0
[INFO ][2022-06-09 10:52:05,532][Lab_2.Task2]  - x1 = 2.5
[INFO ][2022-06-09 10:52:05,532][Lab_2.Task2]  - x2 = 2.5
[INFO ][2022-06-09 10:52:05,536][Lab_2.Task3]  - 1
[INFO ][2022-06-09 10:52:05,544][Lab_2.Task]  - Введены не верные параметры
[INFO ][2022-06-09 10:52:26,578][Lab_2.Task1]  - Ответ:41.0
[INFO ][2022-06-09 10:52:26,582][Lab_2.Task2]  - x1 = 2.5
[INFO ][2022-06-09 10:52:26,582][Lab_2.Task2]  - x2 = 2.5
[INFO ][2022-06-09 10:52:26,582][Lab_2.Task3]  - 1
[INFO ][2022-06-09 10:52:40,882][Lab_2.Task1]  - Ответ:41.0
[INFO ][2022-06-09 10:52:40,886][Lab_2.Task2]  - x1 = 2.5
[INFO ][2022-06-09 10:52:40,886][Lab_2.Task2]  - x2 = 2.5
[INFO ][2022-06-09 10:52:40,890][Lab_2.Task3]  - 1
[INFO ][2022-06-09 10:53:23,893][Lab_2.Task1]  - Ответ:41.0
[INFO ][2022-06-09 10:53:23,901][Lab_2.Task2]  - x1 = 2.5
[INFO ][2022-06-09 10:53:23,901][Lab_2.Task2]  - x2 = 2.5
[INFO ][2022-06-09 10:53:23,901][Lab_2.Task3]  - 1
[INFO ][2022-06-09 10:56:21,090][Lab_2.Task1]  - Ответ:41.0
[INFO ][2022-06-09 10:56:21,094][Lab_2.Task2]  - x1 = 2.5
[INFO ][2022-06-09 10:56:21,094][Lab_2.Task2]  - x2 = 2.5
[INFO ][2022-06-09 10:56:21,094][Lab_2.Task3]  - 1
[INFO ][2022-06-09 11:17:17,828][Lab_2.Task1]  - Ответ:41.0
[INFO ][2022-06-09 11:17:17,843][Lab_2.Task2]  - x1 = 2.5
[INFO ][2022-06-09 11:17:17,843][Lab_2.Task2]  - x2 = 2.5
[INFO ][2022-06-09 11:17:17,843][Lab_2.Task3]  - 1
[INFO ][2022-06-09 11:18:38,752][Lab_2.Task1]  - Ответ:41.0
[INFO ][2022-06-09 11:18:38,752][Lab_2.Task2]  - x1 = 2.5
[INFO ][2022-06-09 11:18:38,752][Lab_2.Task2]  - x2 = 2.5
[INFO ][2022-06-09 11:18:38,752][Lab_2.Task3]  - 1
[INFO ][2022-06-09 11:19:40,080][Lab_2.Task1]  - Ответ:41.0
[INFO ][2022-06-09 11:19:40,080][Lab_2.Task2]  - x1 = 2.5
[INFO ][2022-06-09 11:19:40,080][Lab_2.Task2]  - x2 = 2.5
[INFO ][2022-06-09 11:19:40,080][Lab_2.Task3]  - 1
[INFO ][2022-06-09 11:21:32,851][Lab_2.Task1]  - Ответ:41.0
[INFO ][2022-06-09 11:21:32,851][Lab_2.Task2]  - x1 = 2.5
[INFO ][2022-06-09 11:21:32,851][Lab_2.Task2]  - x2 = 2.5
[INFO ][2022-06-09 11:21:32,851][Lab_2.Task3]  - 1
[INFO ][2022-06-09 15:26:27,931][Lab_2.Task1]  - Ответ:41.0
[INFO ][2022-06-09 15:26:27,935][Lab_2.Task2]  - x1 = 2.5
[INFO ][2022-06-09 15:26:27,935][Lab_2.Task2]  - x2 = 2.5
[INFO ][2022-06-09 15:26:27,939][Lab_2.Task3]  - 1
[INFO ][2022-06-09 15:26:27,947][Lab_2.Task]  - Введены не верные параметры
[INFO ][2022-06-09 15:26:50,323][Lab_2.Task1]  - Ответ:41.0
[INFO ][2022-06-09 15:26:50,327][Lab_2.Task2]  - x1 = 2.5
[INFO ][2022-06-09 15:26:50,327][Lab_2.Task2]  - x2 = 2.5
[INFO ][2022-06-09 15:26:50,327][Lab_2.Task3]  - 1
[INFO ][2022-06-09 15:30:48,374][Lab_2.Task1]  - Ответ:41.0
[INFO ][2022-06-09 15:30:48,390][Lab_2.Task2]  - x1 = 2.5
[INFO ][2022-06-09 15:30:48,390][Lab_2.Task2]  - x2 = 2.5
[INFO ][2022-06-09 15:30:48,390][Lab_2.Task3]  - 1
[INFO ][2022-06-10 12:22:13,345][Lab_2.Task1]  - Ответ:41.0
[INFO ][2022-06-10 12:22:13,367][Lab_2.Task2]  - x1 = 2.5
[INFO ][2022-06-10 12:22:13,368][Lab_2.Task2]  - x2 = 2.5
